Suburb,h,t,u
Kensington,96241500,28186000,28673978
Kew,475502500,28391100,58466000
Kew East,140132000,10848000,13112000
Keysborough,21521500,688000,0
Kilsyth,12779000,0,1190000
Kings Park,7971000,0,440000
Kingsbury,18648001,512000,5780500
Kingsville,47854700,1340000,5435000
Knoxfield,13671000,0,1196864
Kooyong,9085000,1706000,2800000
Kurunjang,4948500,0,0
Lalor,53086500,2190500,2447000
Langwarrin,7703500,0,1184000
Laverton,2793500,0,440000
Lilydale,4505000,0,0
Lower Plenty,11221000,3047500,3918000
Lynbrook,1227500,0,0
Lysterfield,730000,0,0
MacLeod,36946500,5391500,10851500
Maidstone,66205888,33846000,7388000
Malvern,206521000,7550000,32268000
Malvern East,308121657,22957000,29865000
Maribyrnong,114140588,32662500,19202500
McKinnon,32629500,10235800,2961500
Meadow Heights,20001500,1115500,4056500
Melbourne,1630000,0,113371500
Melton,13037500,0,0
Melton South,23156750,0,570000
Melton West,12850500,0,0
Mentone,51207000,25645000,14083750
Menzies Creek,0,0,0
Mernda,50721058,482500,0
Mickleham,5946000,0,0
Middle Park,114174000,0,6362000
Mill Park,96210388,2980750,4159500
Mitcham,76799388,11198100,11731800
Monbulk,720000,0,0
Mont Albert,91667000,10783000,17771388
Montmorency,41190600,4628000,4246500
Montrose,735000,0,0
Moonee Ponds,226934200,17416000,29382500
Moorabbin,75825750,23124000,10870000
Mooroolbark,28386000,1330000,0
Mordialloc,33795000,12261000,8600000
Mount Evelyn,2363000,0,0
Mount Waverley,196183300,18389600,17461000
Mulgrave,76209896,2226000,2062000
Murrumbeena,97515688,23529000,26450500
Narre Warren,9030500,495000,398000
New Gisborne,3952500,0,0
Newport,184651100,21247500,9058500
Niddrie,89754500,18791500,18551000
Noble Park,23940000,3252000,5375500
North Melbourne,49580000,17437000,38581189
North Warrandyte,5420000,0,0
Northcote,372908000,18403500,36405250
Notting Hill,6851000,1495500,840000
Nunawading,38890500,7181080,9475000
Oak Park,61425609,18955818,12170500
Oakleigh,73744000,3765000,7709000
Oakleigh East,19470000,7979000,3196500
Oakleigh South,98952696,7007500,5488500
Officer,2379000,0,0
Olinda,0,0,0
Ormond,98971500,16155500,26462000
Pakenham,7844000,0,0
Parkdale,58692500,15050750,11096500
Parkville,47620500,1650000,21660100
Pascoe Vale,157534000,50729450,26040500
Patterson Lakes,3734000,0,607000
Plenty,2282000,0,0
Plumpton,5910000,0,0
Point Cook,60912090,1935000,485000
Port Melbourne,219912500,13563000,107814388
Prahran,176779000,12710500,57689500
Preston,299131650,37213888,27970450
Princes Hill,27765500,0,0
Research,4180000,0,1255000
Reservoir,370876600,56915913,74640441
Richmond,324557000,48142000,95970600
Riddells Creek,3174500,0,0
Ringwood,47430299,4380000,4946000
Ringwood East,27245888,2600000,3226000
Ringwood North,24399888,1630000,602000
Ripponlea,5664000,755000,6447500
Rockbank,2495000,0,0
Rosanna,99631740,9464500,11212000
Rowville,30544800,0,0
Roxburgh Park,39358700,1223500,0
Sandhurst,1950000,0,0
Sandringham,87185000,15134000,11531000
Scoresby,12926800,0,0
Seabrook,3699000,0,0
Seaford,26412500,1153000,1532000
Seaholme,15040000,2605000,1042500
Seddon,84815500,2395000,4826500
Silvan,2155000,0,0
Skye,2210698,0,0
South Kingsville,13832250,7692000,2015000
South Melbourne,151193500,10532000,39368500
South Morang,52936500,1733000,2039000
