Distance,Type,Average_Price,Average_Price_rounded
8.6,Townhouse,652833.3333,652833
8.6,Unit,480750,480750
8.7,Home,1173569.977,1173570
8.7,Townhouse,675428.5714,675429
8.7,Unit,513741.9355,513742
8.8,Home,892407.3077,892407
8.8,Townhouse,669715.25,669715
8.8,Unit,525673.0769,525673
8.9,Home,1237534.194,1237534
8.9,Townhouse,828875,828875
8.9,Unit,621076.9231,621077
9,Home,2636218.75,2636219
9,Townhouse,1580000,1580000
9,Unit,835576.9231,835577
9.1,Home,1270963.235,1270963
9.1,Townhouse,867200,867200
9.1,Unit,522384.6154,522385
9.2,Home,1575343.678,1575344
9.2,Townhouse,881970,881970
9.2,Unit,610516.3934,610516
9.3,Home,1315769.231,1315769
9.3,Townhouse,1225000,1225000
9.3,Unit,580000,580000
9.4,Home,794191.4414,794191
9.4,Townhouse,740233.3333,740233
9.4,Unit,528373.6842,528374
9.5,Home,877013.5135,877014
9.5,Townhouse,835000,835000
9.5,Unit,642571.4286,642571
9.7,Home,1879255.597,1879256
9.7,Townhouse,1205487.179,1205487
9.7,Unit,874195.122,874195
9.8,Home,1181416.667,1181417
9.8,Townhouse,818500,818500
9.8,Unit,445600,445600
9.9,Home,844712.2642,844712
9.9,Townhouse,577175,577175
9.9,Unit,494525,494525
10.1,Home,1446677.587,1446678
10.1,Townhouse,1041464.286,1041464
10.1,Unit,592708.4524,592708
10.2,Home,1879405,1879405
10.2,Townhouse,1197500,1197500
10.2,Unit,809433.0256,809433
10.3,Home,1943528.571,1943529
10.3,Townhouse,1374304.348,1374304
10.3,Unit,799178.5714,799179
10.4,Home,1121058.652,1121059
10.4,Townhouse,871176.4706,871176
10.4,Unit,616166.6667,616167
10.5,Home,1150664.031,1150664
10.5,Townhouse,1180895.439,1180895
10.5,Unit,771243.5065,771244
10.6,Home,1146500,1146500
10.6,Townhouse,654000,654000
10.6,Unit,625500,625500
10.7,Home,1756252.294,1756252
10.7,Townhouse,1318425.926,1318426
10.7,Unit,820500,820500
10.8,Home,1010160.256,1010160
10.8,Townhouse,739580,739580
10.8,Unit,672312.5,672313
10.9,Home,1610984,1610984
10.9,Townhouse,559999.8889,560000
10.9,Unit,536250,536250
11,Home,1449731.959,1449732
11,Townhouse,1100187.5,1100188
11,Unit,655171.875,655172
11.1,Home,783007.3529,783007
11.1,Townhouse,641818.1818,641818
11.1,Unit,550666.6667,550667
11.2,Home,1238193.477,1238193
11.2,Townhouse,863412.7175,863413
11.2,Unit,617763.2035,617763
11.4,Home,1416127.727,1416128
11.4,Townhouse,1121883,1121883
11.4,Unit,570518.4,570518
11.5,Home,891023.1389,891023
11.5,Townhouse,640617.8571,640618
11.5,Unit,552350,552350
11.7,Home,1093591.124,1093591
11.7,Townhouse,923002.8571,923003
11.7,Unit,676720,676720
11.8,Home,1452809.16,1452809
11.8,Townhouse,1080280.952,1080281
11.8,Unit,642358.6957,642359
12,Home,836202.0455,836202
12,Townhouse,609928.26,609928
12,Unit,519443.625,519444
12.1,Home,893013.3054,893013
12.1,Townhouse,723781.25,723781
12.1,Unit,541261.3636,541261
12.2,Home,1197584.848,1197585
12.2,Townhouse,987875,987875
12.2,Unit,736888.8889,736889
12.3,Home,1196225,1196225
12.3,Townhouse,914250,914250
12.3,Unit,725000,725000
12.4,Home,1104141.148,1104141
12.4,Townhouse,859586.2069,859586
12.4,Unit,728565.2174,728565
12.5,Home,861499.875,861500
12.5,Unit,750000,750000
12.6,Home,729130.1979,729130
12.6,Townhouse,493333.3333,493333
12.6,Unit,439312.5,439313
12.7,Home,944931.0345,944931
12.7,Townhouse,789681.8182,789682
12.7,Unit,677794.1176,677794
12.8,Home,773634.8624,773635
12.8,Townhouse,694000,694000
12.8,Unit,540428.5714,540429
12.9,Home,691984.2105,691984
12.9,Townhouse,567857.1429,567857
12.9,Unit,461884.6154,461885
13,Home,1021014.742,1021015
13,Townhouse,826272.8642,826273
13,Unit,592931.8182,592932
13.1,Home,998450.9615,998451
13.1,Townhouse,672375,672375
13.1,Unit,561289.4737,561289
13.3,Home,647001.4085,647001
13.3,Townhouse,420000,420000
13.3,Unit,419875,419875
13.4,Home,1309291.667,1309292
13.4,Townhouse,957653.8462,957654
13.4,Unit,798150,798150
13.5,Home,647491.0569,647491
13.5,Townhouse,599777.7778,599778
13.5,Unit,498604.1667,498604
13.6,Home,905630.4348,905630
13.6,Townhouse,860583.3333,860583
13.6,Unit,748583.3333,748583
13.7,Home,1876703.947,1876704
13.7,Townhouse,1421184.211,1421184
13.7,Unit,764250,764250
13.8,Home,1342612.67,1342613
13.8,Townhouse,1155677.311,1155677
13.8,Unit,697538.1944,697538
13.9,Home,1171676.647,1171677
13.9,Townhouse,1035647.837,1035648
13.9,Unit,641520,641520
14,Home,668281.5632,668282
14,Townhouse,492043.4783,492043
14,Unit,507138.8889,507139
14.2,Home,1486237.121,1486237
14.2,Townhouse,1149350,1149350
14.2,Unit,831476.1905,831476
14.3,Home,1337703.361,1337703
14.3,Townhouse,1068048.387,1068048
14.3,Unit,778111.1111,778111
14.5,Home,795820.155,795820
14.5,Townhouse,978195.6522,978196
14.5,Unit,610846.1538,610846
14.6,Home,1044542.453,1044542
14.6,Townhouse,850142.8571,850143
14.6,Unit,608176.4706,608176
14.7,Home,785869.5048,785870
14.7,Townhouse,685333.3333,685333
14.7,Unit,551238.0952,551238
14.8,Home,647705.0505,647705
14.8,Townhouse,480300,480300
14.8,Unit,450000,450000
14.9,Home,767225,767225
14.9,Townhouse,485000,485000
14.9,Unit,476166.6667,476167
15,Home,694625,694625
15,Townhouse,465500,465500
15,Unit,,0
15.2,Home,1855000,1855000
15.2,Townhouse,1375818.182,1375818
15.2,Unit,768733.3333,768733
15.3,Home,696379.0323,696379
15.3,Townhouse,406500,406500
15.3,Unit,433650,433650
15.4,Home,1070681.25,1070681
15.4,Townhouse,1003947.5,1003948
15.4,Unit,689222.2222,689222
15.5,Home,998520.6962,998521
15.5,Townhouse,953285.7143,953286
15.5,Unit,541000,541000
16,Home,1349285.714,1349286
16,Townhouse,1061461.538,1061462
16,Unit,693500,693500
16.1,Home,988648.0263,988648
16.1,Townhouse,834464.2857,834464
16.1,Unit,639543.4783,639543
16.2,Home,936150,936150
16.2,Townhouse,771333.3333,771333
16.2,Unit,606642.8571,606643
16.3,Home,671981.0127,671981
16.3,Townhouse,547625,547625
16.3,Unit,407833.3333,407833
16.5,Home,690942.7083,690943
16.5,Townhouse,540000,540000
16.5,Unit,514666.6667,514667
16.6,Home,587888.8889,587889
16.6,Townhouse,350000,350000
16.7,Home,1368889.953,1368890
16.7,Townhouse,1021236.842,1021237
16.7,Unit,896527.027,896527
17.2,Home,1164803.967,1164804
17.2,Townhouse,874505.5556,874506
17.2,Unit,764621.0526,764621
17.3,Home,1829733.333,1829733
17.3,Townhouse,1325583.333,1325583
17.3,Unit,752166.6667,752167
17.4,Home,505336.7347,505337
17.4,Townhouse,371833.3333,371833
17.4,Unit,405650,405650
17.5,Home,951629.7297,951630
17.5,Townhouse,846000,846000
17.5,Unit,619100,619100
17.6,Home,651000,651000
17.6,Townhouse,475000,475000
17.9,Home,862283.4237,862283
17.9,Townhouse,844850,844850
17.9,Unit,597468.75,597469
18,Home,790545.0773,790545
18,Townhouse,613000,613000
18,Unit,577804.5455,577805
18.4,Home,565740.7216,565741
18.4,Townhouse,370000,370000
18.4,Unit,400779.1667,400779
18.7,Home,831500,831500
18.7,Unit,522000,522000
18.8,Home,1088712.8,1088713
18.8,Townhouse,742000,742000
18.8,Unit,687333.3333,687333
19.6,Home,614915.3846,614915
19.6,Townhouse,428833.3333,428833
19.6,Unit,407859.375,407859
19.9,Home,996335.8267,996336
19.9,Townhouse,858571.4286,858571
19.9,Unit,616444.4444,616444
20,Home,1219214.286,1219214
20,Townhouse,949814.8148,949815
20,Unit,563350,563350
20.1,Home,1141000,1141000
20.4,Home,777340.5797,777341
20.4,Townhouse,484625,484625
20.4,Unit,483500,483500
20.5,Home,653537.037,653537
20.5,Townhouse,433250,433250
20.5,Unit,407800,407800
20.6,Home,575154.6429,575155
20.6,Townhouse,398041.6667,398042
20.6,Unit,393000,393000
20.8,Home,836258.6207,836259
20.8,Townhouse,685000,685000
20.8,Unit,654875,654875
21.1,Home,1291117.647,1291118
21.3,Home,988913.6615,988914
21.3,Townhouse,780166.6667,780167
21.3,Unit,625166.6667,625167
21.5,Home,1190006.466,1190006
21.5,Townhouse,913610.2941,913610
21.5,Unit,592161.7647,592162
21.8,Home,781847.8261,781848
21.8,Townhouse,648000,648000
21.8,Unit,564500,564500
22.2,Home,928610.5263,928611
22.2,Townhouse,771000,771000
22.2,Unit,623071.4286,623071
22.7,Home,725454.5455,725455
22.7,Townhouse,542000,542000
22.7,Unit,488681.8182,488682
22.9,Home,665000,665000
23,Home,906346.8992,906347
23,Townhouse,665000,665000
23,Unit,618430.7692,618431
23.2,Home,784441.0256,784441
23.2,Townhouse,715333.3333,715333
23.2,Unit,576520,576520
23.3,Home,911400,911400
23.3,Unit,598432,598432
23.5,Home,925600,925600
23.5,Unit,,0
23.6,Home,987500,987500
23.8,Home,600357.1429,600357
24.7,Home,695849.2308,695849
24.7,Townhouse,,0
24.7,Unit,420738.0952,420738
24.8,Home,796563.5745,796564
24.8,Townhouse,967500,967500
