Distance,h,t,u
27,928402.7143,868500,649714.2857
27.1,763664.6667,,
27.2,514650,,371000
27.7,487571.4286,,397000
28.5,739840.9091,,
28.8,548928.5714,,471000
29.3,825000,,
29.5,690000,,
29.8,438148.3051,,285000
29.9,750833.3333,,
30.4,855000,,
30.6,,,
31.2,804911.7647,750000,615850
31.4,620000,,
31.6,590750,,
31.7,505657.1429,496000,380000
32.3,713722.2222,,
32.6,,,
33,630000,,
33.3,577600,,
33.8,613750,,
34.1,650033.3333,495000,398000
34.6,1077500,,
34.7,612109.4815,,
34.9,556477.2727,,420000
35.2,821358.9744,,665000
35.4,754642.8571,576500,510666.6667
35.5,489000,,
36.9,538625,,
37.5,414400,,
38,787954.0086,639166.6667,425437.5
39,670000,,537000
39.8,719500,,
41,641958.3333,,394666.6667
43.3,594750,,
43.4,633000,,
44.2,523363.6364,,
45.2,688000,,
45.9,750150,,
47.3,522933.3333,,
47.4,793625,,
48.1,790500,,
#N/A,616000,,
