Suburb,Median House Price,SUBURB
Wheelers Hill,1130500,WHEELERS HILL
Albert Park,1900000,ALBERT PARK
Armadale,1200000,ARMADALE
Ashburton,1605500,ASHBURTON
Ashwood,1200000,ASHWOOD
Balaclava,645500,BALACLAVA
Balwyn,1800000,BALWYN
Balwyn North,1670000,BALWYN NORTH
Beaumaris,1500000,BEAUMARIS
Bentleigh,1300000,BENTLEIGH
Bentleigh East,1160000,BENTLEIGH EAST
Black Rock,1525000,BLACK ROCK
Brighton,1850000,BRIGHTON
Brighton East,1652500,BRIGHTON EAST
Burwood,1239000,BURWOOD
Camberwell,1800000,CAMBERWELL
Canterbury,2100000,CANTERBURY
Carnegie,795000,CARNEGIE
Caulfield,650000,CAULFIELD
Caulfield East,999000,CAULFIELD EAST
Caulfield North,650000,CAULFIELD NORTH
Caulfield South,1300000,CAULFIELD SOUTH
Chadstone,946000,CHADSTONE
Cheltenham,950000,CHELTENHAM
Deepdene,2361000,DEEPDENE
Docklands,625000,DOCKLANDS
Elsternwick,1125000,ELSTERNWICK
Elwood,722000,ELWOOD
Gardenvale,787500,GARDENVALE
Glen Huntly,609000,GLEN HUNTLY
Glen Iris,1520000,GLEN IRIS
Hampton,1530000,HAMPTON
Hampton East,1150000,HAMPTON EAST
Hawthorn,731000,HAWTHORN
Hawthorn East,1317500,HAWTHORN EAST
Highett,1088000,HIGHETT
Hughesdale,1040000,HUGHESDALE
Huntingdale,951500,HUNTINGDALE
Kew,1500000,KEW
Kew East,1750000,KEW EAST
Kooyong,1755000,KOOYONG
Malvern,2000000,MALVERN
Malvern East,1430000,MALVERN EAST
McKinnon,1400000,MCKINNON
Middle Park,1880000,MIDDLE PARK
Moorabbin,1035000,MOORABBIN
Murrumbeena,1140000,MURRUMBEENA
Notting Hill,878000,NOTTING HILL
Oakleigh,1029000,OAKLEIGH
Oakleigh East,920000,OAKLEIGH EAST
Ormond,981000,ORMOND
Port Melbourne,1200000,PORT MELBOURNE
Prahran,1015000,PRAHRAN
Ripponlea,657500,RIPPONLEA
Sandringham,1582500,SANDRINGHAM
South Melbourne,1200000,SOUTH MELBOURNE
South Yarra,802000,SOUTH YARRA
Southbank,595000,SOUTHBANK
St Kilda,600000,ST KILDA
Surrey Hills,1555000,SURREY HILLS
Toorak,1230000,TOORAK
Windsor,882500,WINDSOR
Aberfeldie,1350000,ABERFELDIE
Airport West,751500,AIRPORT WEST
Albanvale,504500,ALBANVALE
Albion,623000,ALBION
Altona,850000,ALTONA
Altona Meadows,620000,ALTONA MEADOWS
Altona North,781000,ALTONA NORTH
Ardeer,607000,ARDEER
Ascot Vale,1005000,ASCOT VALE
Avondale Heights,815000,AVONDALE HEIGHTS
Braybrook,700000,BRAYBROOK
Brooklyn,659000,BROOKLYN
Bulla,1380000,BULLA
Burnside,638750,BURNSIDE
Burnside Heights,616000,BURNSIDE HEIGHTS
Cairnlea,679000,CAIRNLEA
Caroline Springs,591750,CAROLINE SPRINGS
Deer Park,567000,DEER PARK
Delahey,559000,DELAHEY
Derrimut,727500,DERRIMUT
Diggers Rest,460000,DIGGERS REST
Essendon,1000000,ESSENDON
Essendon North,710000,ESSENDON NORTH
Essendon West,1121000,ESSENDON WEST
Footscray,748500,FOOTSCRAY
Gladstone Park,620000,GLADSTONE PARK
Gowanbrae,720000,GOWANBRAE
Hillside,640500,HILLSIDE
Hoppers Crossing,540000,HOPPERS CROSSING
Kealba,590000,KEALBA
Keilor,765000,KEILOR
Keilor Downs,650250,KEILOR DOWNS
Keilor East,809000,KEILOR EAST
Keilor Lodge,670000,KEILOR LODGE
Keilor Park,682500,KEILOR PARK
Kings Park,503000,KINGS PARK
Kingsville,945000,KINGSVILLE
Laverton,532500,LAVERTON
Maidstone,695000,MAIDSTONE
Manor Lakes,530000,MANOR LAKES
Maribyrnong,805000,MARIBYRNONG
Moonee Ponds,1105500,MOONEE PONDS
Newport,951500,NEWPORT
Niddrie,950000,NIDDRIE
Plumpton,547000,PLUMPTON
Point Cook,655000,POINT COOK
Rockbank,615000,ROCKBANK
Seabrook,625000,SEABROOK
Seaholme,1097500,SEAHOLME
Seddon,965000,SEDDON
South Kingsville,827500,SOUTH KINGSVILLE
Spotswood,965000,SPOTSWOOD
St Albans,610000,ST ALBANS
Strathmore,1200000,STRATHMORE
Strathmore Heights,860000,STRATHMORE HEIGHTS
Sunbury,518250,SUNBURY
Sunshine,725000,SUNSHINE
Sunshine North,660000,SUNSHINE NORTH
Sunshine West,630000,SUNSHINE WEST
Sydenham,569000,SYDENHAM
Tarneit,527500,TARNEIT
Taylors Hill,691000,TAYLORS HILL
Taylors Lakes,715000,TAYLORS LAKES
Travancore,972000,TRAVANCORE
Truganina,548750,TRUGANINA
Tullamarine,600000,TULLAMARINE
Werribee,498000,WERRIBEE
Werribee South,497500,WERRIBEE SOUTH
West Footscray,805000,WEST FOOTSCRAY
Wildwood,1030000,WILDWOOD
Williams Landing,633750,WILLIAMS LANDING
Williamstown,1266000,WILLIAMSTOWN
Williamstown North,881000,WILLIAMSTOWN NORTH
Wyndham Vale,465000,WYNDHAM VALE
Yarraville,936000,YARRAVILLE
